Date,Close/Last,Volume,Open,High,Low
08/03/2021,$65.3,N/A,$65.3,$65.3,$65.3
08/02/2021,$65.3,N/A,$65.3,$65.3,$65.3
07/30/2021,$65.3,N/A,$65.3,$65.3,$65.3
07/29/2021,$65.3,N/A,$65.3,$65.3,$65.3
07/28/2021,$65.3,N/A,$65.3,$65.3,$65.3
07/27/2021,$65.3,N/A,$65.3,$65.3,$65.3
07/26/2021,$65.3,157,$65.3,$65.3,$65.3
07/23/2021,$66.25,N/A,$66.25,$66.25,$66.25
07/22/2021,$66.25,14920,$66.857,$67.5,$66.25
07/21/2021,$63.7,1669,$63.7,$63.7,$63.7
07/20/2021,$66,100,$66,$66,$66
07/19/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/16/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/15/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/14/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/13/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/12/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/09/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/08/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/07/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/06/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/02/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
07/01/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
06/30/2021,$69.9611,N/A,$69.9611,$69.9611,$69.9611
06/29/2021,$69.9611,284,$69.9611,$69.9611,$69.9611
06/28/2021,$69.5,N/A,$69.5,$69.5,$69.5
06/25/2021,$69.5,159,$69.5,$69.5,$69.5
06/24/2021,$76,N/A,$76,$76,$76
06/23/2021,$76,N/A,$76,$76,$76
06/22/2021,$76,N/A,$76,$76,$76
06/21/2021,$76,N/A,$76,$76,$76
06/18/2021,$76,N/A,$76,$76,$76
06/17/2021,$76,N/A,$76,$76,$76
06/16/2021,$76,108,$76,$76,$76
06/15/2021,$50,N/A,$50,$50,$50
06/14/2021,$50,222,$50,$50,$50
06/11/2021,$70.75,N/A,$70.75,$70.75,$70.75
06/10/2021,$70.75,N/A,$70.75,$70.75,$70.75
06/09/2021,$70.75,N/A,$70.75,$70.75,$70.75
06/08/2021,$70.75,7447,$70.289,$70.75,$50
06/07/2021,$70.75,192,$70.75,$70.75,$70.75
06/04/2021,$70.49,7321,$70.1563,$70.5474,$70.1563
06/03/2021,$73.2,N/A,$73.2,$73.2,$73.2
06/02/2021,$73.2,N/A,$73.2,$73.2,$73.2
06/01/2021,$73.2,N/A,$73.2,$73.2,$73.2
05/28/2021,$73.2,N/A,$73.2,$73.2,$73.2
05/27/2021,$73.2,973,$73.4867,$73.4867,$73.2
05/26/2021,$71.164,9172,$71.164,$71.164,$71.164
05/25/2021,$71.7681,N/A,$71.7681,$71.7681,$71.7681
05/24/2021,$71.7681,N/A,$71.7681,$71.7681,$71.7681
05/21/2021,$71.7681,N/A,$71.7681,$71.7681,$71.7681
05/20/2021,$71.7681,793,$71.4107,$71.7681,$71.4107
05/19/2021,$99.9999,493,$99.9999,$99.9999,$70.5
05/18/2021,$65.5,N/A,$65.5,$65.5,$65.5
05/17/2021,$65.5,N/A,$65.5,$65.5,$65.5
05/14/2021,$65.5,192,$65.5,$65.5,$65.5
05/13/2021,$65,503,$65,$65,$65
05/12/2021,$65.2475,2422,$65.2396,$65.2626,$65.165
05/11/2021,$74.99,176,$74.99,$74.99,$74.99
05/10/2021,$77,312,$77,$77,$77
05/07/2021,$73.95,N/A,$73.95,$73.95,$73.95
05/06/2021,$73.95,181,$73.95,$73.95,$73.95
05/05/2021,$76.0732,N/A,$76.0732,$76.0732,$76.0732
05/04/2021,$76.0732,N/A,$76.0732,$76.0732,$76.0732
05/03/2021,$76.0732,N/A,$76.0732,$76.0732,$76.0732
04/30/2021,$76.0732,446,$76.0732,$76.0732,$76.0732
04/29/2021,$77,340,$77,$77,$77
04/28/2021,$78,257,$78,$78,$78
04/27/2021,$77.4953,N/A,$77.4953,$77.4953,$77.4953
04/26/2021,$77.4953,N/A,$77.4953,$77.4953,$77.4953
04/23/2021,$77.4953,N/A,$77.4953,$77.4953,$77.4953
04/22/2021,$77.4953,N/A,$77.4953,$77.4953,$77.4953
04/21/2021,$77.4953,224,$77.4953,$77.4953,$77.4953
04/20/2021,$78.5,217,$78.5,$78.5,$78.5
04/19/2021,$78.3,N/A,$78.3,$78.3,$78.3
04/16/2021,$78.3,754,$78.3,$78.3,$78.3
04/15/2021,$78.25,N/A,$78.25,$78.25,$78.25
04/14/2021,$78.25,320,$79.55,$79.55,$78.25
04/13/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/12/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/09/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/08/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/07/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/06/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/05/2021,$75.45,N/A,$75.45,$75.45,$75.45
04/01/2021,$75.45,N/A,$75.45,$75.45,$75.45
03/31/2021,$75.45,N/A,$75.45,$75.45,$75.45
03/30/2021,$75.45,160,$75.45,$75.45,$75.45
03/29/2021,$75.3681,252,$75.3681,$75.3681,$75.3681
03/26/2021,$65.5,N/A,$65.5,$65.5,$65.5
03/25/2021,$65.5,543,$65.5,$65.5,$65.5
03/24/2021,$76.8,N/A,$76.8,$76.8,$76.8
03/23/2021,$76.8,223,$76.8,$76.8,$76.8
03/22/2021,$76.5,219,$76.5,$76.5,$76.5
03/19/2021,$77,N/A,$77,$77,$77
03/18/2021,$77,N/A,$77,$77,$77
03/17/2021,$77,167,$77,$77,$77
03/16/2021,$78.35,N/A,$78.35,$78.35,$78.35
03/15/2021,$78.35,188,$78.35,$78.35,$78.35
03/12/2021,$79.28,N/A,$79.28,$79.28,$79.28
03/11/2021,$79.28,543,$79.2339,$79.28,$79.2339
03/10/2021,$77.6828,742,$75,$77.6828,$75
03/09/2021,$79,N/A,$79,$79,$79
03/08/2021,$79,221,$79,$79,$79
03/05/2021,$79,N/A,$79,$79,$79
03/04/2021,$79,1661,$80.315,$80.5,$79
03/03/2021,$82,493,$83,$83,$82
03/02/2021,$82,N/A,$82,$82,$82
03/01/2021,$82,N/A,$82,$82,$82
02/26/2021,$82,556,$82.25,$82.25,$82
02/25/2021,$83,335,$83,$83,$83
02/24/2021,$89.3665,N/A,$89.3665,$89.3665,$89.3665
02/23/2021,$89.3665,N/A,$89.3665,$89.3665,$89.3665
02/22/2021,$89.3665,N/A,$89.3665,$89.3665,$89.3665
02/19/2021,$89.3665,150,$89.3665,$89.3665,$89.3665
02/18/2021,$103,N/A,$103,$103,$103
02/17/2021,$103,N/A,$103,$103,$103
02/16/2021,$103,N/A,$103,$103,$103
02/12/2021,$103,N/A,$103,$103,$103
02/11/2021,$103,N/A,$103,$103,$103
02/10/2021,$103,N/A,$103,$103,$103
02/09/2021,$103,N/A,$103,$103,$103
02/08/2021,$103,N/A,$103,$103,$103
02/05/2021,$103,194,$103,$103,$103
02/04/2021,$100.55,N/A,$100.55,$100.55,$100.55
02/03/2021,$100.55,N/A,$100.55,$100.55,$100.55
02/02/2021,$100.55,N/A,$100.55,$100.55,$100.55
02/01/2021,$100.55,N/A,$100.55,$100.55,$100.55
01/29/2021,$100.55,136,$100.55,$100.55,$100.55
01/28/2021,$100.15,129,$100.15,$100.15,$100.15
01/27/2021,$101.75,N/A,$101.75,$101.75,$101.75
01/26/2021,$101.75,N/A,$101.75,$101.75,$101.75
01/25/2021,$101.75,335,$101.75,$101.75,$101.75
01/22/2021,$85.9,271,$85.9,$85.9,$85.9
01/21/2021,$101.5,N/A,$101.5,$101.5,$101.5
01/20/2021,$101.5,N/A,$101.5,$101.5,$101.5
01/19/2021,$101.5,1720,$100.8947,$102,$100.8947
01/15/2021,$102,414,$102,$102,$102
01/14/2021,$102.25,443,$102.25,$102.25,$102.25
01/13/2021,$102.95,482,$102.5,$102.95,$102.5
01/12/2021,$96,N/A,$96,$96,$96
01/11/2021,$96,250,$96.9402,$96.9402,$96
01/08/2021,$96.4431,N/A,$96.4431,$96.4431,$96.4431
01/07/2021,$96.4431,486,$96.4431,$96.4431,$96.4431
01/06/2021,$97.5,2843,$97.5,$97.5,$97.5
01/05/2021,$95,N/A,$95,$95,$95
01/04/2021,$95,N/A,$95,$95,$95
12/31/2020,$95,N/A,$95,$95,$95
12/30/2020,$95,N/A,$95,$95,$95
12/29/2020,$95,N/A,$95,$95,$95
12/28/2020,$95,N/A,$95,$95,$95
12/24/2020,$95,N/A,$95,$95,$95
12/23/2020,$95,N/A,$95,$95,$95
12/22/2020,$95,N/A,$95,$95,$95
12/21/2020,$95,N/A,$95,$95,$95
12/18/2020,$95,148,$95,$95,$95
12/17/2020,$92.85,N/A,$92.85,$92.85,$92.85
12/16/2020,$92.85,142,$92.85,$92.85,$92.85
12/15/2020,$94.75,N/A,$94.75,$94.75,$94.75
12/14/2020,$94.75,N/A,$94.75,$94.75,$94.75
12/11/2020,$94.75,N/A,$94.75,$94.75,$94.75
12/10/2020,$94.75,328,$94.75,$94.75,$94.75
12/09/2020,$91.5,N/A,$91.5,$91.5,$91.5
12/08/2020,$91.5,N/A,$91.5,$91.5,$91.5
12/07/2020,$91.5,N/A,$91.5,$91.5,$91.5
12/04/2020,$91.5,N/A,$91.5,$91.5,$91.5
12/03/2020,$91.5,N/A,$91.5,$91.5,$91.5
12/02/2020,$91.5,N/A,$91.5,$91.5,$91.5
12/01/2020,$91.5,N/A,$91.5,$91.5,$91.5
11/30/2020,$91.5,N/A,$91.5,$91.5,$91.5
11/27/2020,$91.5,N/A,$91.5,$91.5,$91.5
11/25/2020,$91.5,188,$91.5,$91.5,$91.5
11/24/2020,$95.9963,N/A,$95.9963,$95.9963,$95.9963
11/23/2020,$95.9963,N/A,$95.9963,$95.9963,$95.9963
11/20/2020,$95.9963,N/A,$95.9963,$95.9963,$95.9963
11/19/2020,$95.9963,N/A,$95.9963,$95.9963,$95.9963
11/18/2020,$95.9963,N/A,$95.9963,$95.9963,$95.9963
11/17/2020,$95.9963,N/A,$95.9963,$95.9963,$95.9963
11/16/2020,$95.9963,136,$95.9963,$95.9963,$95.9963
11/13/2020,$93.8,N/A,$93.8,$93.8,$93.8
11/12/2020,$93.8,217,$93.8,$93.8,$93.8
11/11/2020,$88.8,1546,$88.8,$88.8,$88.8
11/10/2020,$87.6,642,$87.6,$87.6,$87.6
11/09/2020,$95.7392,N/A,$95.7392,$95.7392,$95.7392
11/06/2020,$95.7392,436,$95.7392,$95.7392,$95.7392
11/05/2020,$88.2,N/A,$88.2,$88.2,$88.2
11/04/2020,$88.2,N/A,$88.2,$88.2,$88.2
11/03/2020,$88.2,N/A,$88.2,$88.2,$88.2
11/02/2020,$88.2,222,$88.2,$88.2,$88.2
10/30/2020,$95.2,N/A,$95.2,$95.2,$95.2
10/29/2020,$95.2,1040,$95.2,$95.2,$95.2
10/28/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/27/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/26/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/23/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/22/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/21/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/20/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/19/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/16/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/15/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/14/2020,$96.35,N/A,$96.35,$96.35,$96.35
10/13/2020,$96.35,15290,$97.0227,$97.3945,$96.35
10/12/2020,$94,N/A,$94,$94,$94
10/09/2020,$94,N/A,$94,$94,$94
10/08/2020,$94,501,$94,$94,$94
10/07/2020,$93.7944,218,$93.7944,$93.7944,$93.7944
10/06/2020,$87.25,N/A,$87.25,$87.25,$87.25
10/05/2020,$87.25,N/A,$87.25,$87.25,$87.25
